publish_time,publish_time_key,year,month,day
2018-05-04,20180504,2018,5,4
2017-11-07,20171107,2017,11,7
2017-08-29,20170829,2017,8,29
2018-04-08,20180408,2018,4,8
2017-06-25,20170625,2017,6,25
2014-09-23,20140923,2014,9,23
2017-12-10,20171210,2017,12,10
2018-04-13,20180413,2018,4,13
2018-02-09,20180209,2018,2,9
2018-02-10,20180210,2018,2,10
2017-12-15,20171215,2017,12,15
2009-06-08,20090608,2009,6,8
2015-04-16,20150416,2015,4,16
2018-03-04,20180304,2018,3,4
2009-10-07,20091007,2009,10,7
2017-03-21,20170321,2017,3,21
2011-03-06,20110306,2011,3,6
2017-06-07,20170607,2017,6,7
2018-03-25,20180325,2018,3,25
2012-03-20,20120320,2012,3,20
2015-11-25,20151125,2015,11,25
2014-01-29,20140129,2014,1,29
2013-07-15,20130715,2013,7,15
2017-04-30,20170430,2017,4,30
2009-10-31,20091031,2009,10,31
2018-04-15,20180415,2018,4,15
2017-09-18,20170918,2017,9,18
2018-02-05,20180205,2018,2,5
2011-11-24,20111124,2011,11,24
2013-05-28,20130528,2013,5,28
2017-02-12,20170212,2017,2,12
2017-12-28,20171228,2017,12,28
2017-11-30,20171130,2017,11,30
2018-06-09,20180609,2018,6,9
2012-12-10,20121210,2012,12,10
2017-05-28,20170528,2017,5,28
2018-04-22,20180422,2018,4,22
2018-05-18,20180518,2018,5,18
2017-10-16,20171016,2017,10,16
2017-10-26,20171026,2017,10,26
2016-11-21,20161121,2016,11,21
2013-03-22,20130322,2013,3,22
2017-09-26,20170926,2017,9,26
2017-12-05,20171205,2017,12,5
2017-05-05,20170505,2017,5,5
2015-01-08,20150108,2015,1,8
2018-05-15,20180515,2018,5,15
2007-03-05,20070305,2007,3,5
2017-03-20,20170320,2017,3,20
2018-04-06,20180406,2018,4,6
2017-11-14,20171114,2017,11,14
2017-12-24,20171224,2017,12,24
2018-01-19,20180119,2018,1,19
2018-02-13,20180213,2018,2,13
2018-03-18,20180318,2018,3,18
2018-04-09,20180409,2018,4,9
2018-06-12,20180612,2018,6,12
2009-07-23,20090723,2009,7,23
2017-11-13,20171113,2017,11,13
2018-01-04,20180104,2018,1,4
2017-12-09,20171209,2017,12,9
2016-03-31,20160331,2016,3,31
2010-04-10,20100410,2010,4,10
2018-04-29,20180429,2018,4,29
2018-05-09,20180509,2018,5,9
2010-09-02,20100902,2010,9,2
2017-11-22,20171122,2017,11,22
2008-11-24,20081124,2008,11,24
2011-02-18,20110218,2011,2,18
2017-09-15,20170915,2017,9,15
2018-02-24,20180224,2018,2,24
2018-04-03,20180403,2018,4,3
2018-05-12,20180512,2018,5,12
2017-11-05,20171105,2017,11,5
2016-12-17,20161217,2016,12,17
2016-05-12,20160512,2016,5,12
2015-12-15,20151215,2015,12,15
2017-07-12,20170712,2017,7,12
2017-11-08,20171108,2017,11,8
2013-09-08,20130908,2013,9,8
2013-07-07,20130707,2013,7,7
2009-09-29,20090929,2009,9,29
2018-04-04,20180404,2018,4,4
2017-11-29,20171129,2017,11,29
2018-06-05,20180605,2018,6,5
2017-08-17,20170817,2017,8,17
2017-03-29,20170329,2017,3,29
2013-07-12,20130712,2013,7,12
2017-12-22,20171222,2017,12,22
2016-08-27,20160827,2016,8,27
2017-10-06,20171006,2017,10,6
2014-03-07,20140307,2014,3,7
2009-09-18,20090918,2009,9,18
2009-03-11,20090311,2009,3,11
2017-04-08,20170408,2017,4,8
2017-09-08,20170908,2017,9,8
2018-03-30,20180330,2018,3,30
