video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
IJtOFyXxRpU,"베이블레이드 버스트 갓 16화 예고편, 슈를 찾아라! [BEYBLADE BURST GOD TRAILER]",BEYBLADE BURST KOREA,2017-11-13,18055,110,2,89,KR,Film & Animation
uJTDJJ3BgMQ,[원피스 813화 4편] 최초로 밝혀지는 푸딩의 진짜 속마음.. ㅠㅠ,쵸파TV - 종합 채널,2017-11-12,338582,716,48,558,KR,Film & Animation
LIbLZ_ZUebs,나루토 레거시: 보루토 특별 영상 풀버전(한글자막) - 로드 투 보루토,캡틴라미,2017-11-12,280873,1319,54,936,KR,Film & Animation
fC7PIC9HskU,토르: 라그나로크  THOR: Ragnarok  묠니르의 명복을 빕니다 (한국어 CC),한반지 영화 예고편 처리장,2017-11-12,26676,383,3,118,KR,Film & Animation
R5phEt-KJuE,범죄도시는 도대체 왜 흥행했나,빨강도깨비,2017-11-11,215525,1698,79,535,KR,Film & Animation
"#NAME?",[영화걸작선] 37회 - 장산범,거의없다,2017-11-11,78134,3126,28,615,KR,Film & Animation
JzYfGVwZ7dQ,드래곤볼 슈퍼 116화 30초 무삭제 예고편 : 풀파워 극의 에네르기파 케프라에게 작렬!,뱃츄 유튜브,2017-11-12,73676,276,11,279,KR,Film & Animation
xPreuX7D4PA,[ASMR] 수학 공식으로 귀 녹여버리는 '로키' 톰 히들스턴 (수험생 필수),욘두의마블,2017-11-12,104088,6835,17,295,KR,Film & Animation
kzwfHumJyYc,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,Lokdhun Punjabi,2017-11-12,1096327,33966,798,882,KR,Film & Animation
zHfdgW4hy8A,뚝배기 309개나 깨버린 전설의 여자 저격수 실화 영화,민호타우르스,2017-11-11,69885,731,15,185,KR,Film & Animation
59VIEKvKJA8,요정들의 여왕,잉크,2017-11-12,49147,434,6,137,KR,Film & Animation
9cL5DZI-k0s,천재가 무서운 이유,소개해주는 남자,2017-11-10,535876,2485,315,712,KR,Film & Animation
hljD0ExqCh0,고토를 보고 흥분한 오른쪽이 귀여움,레드홀 TV,2017-11-11,108020,317,50,27,KR,Film & Animation
YJkknzyEerc,기생수 마누라가 집을 나간 우다 마모루의 등장 / Parasyte 7-1,판타지윤,2017-11-10,156292,685,38,110,KR,Film & Animation
Gz5CLuByTQQ,"[17-18 쇼트트랙월드컵3차] 여자 1500m 결승 - 심석희, 최민정",임유경,2017-11-11,71545,141,16,52,KR,Film & Animation
Vt3kUwhy1s4,[기생수] 염산(?) 맞고 폭주하는 기생수 시마다 ....,금발로리트윈테일,2017-11-11,150411,506,16,167,KR,Film & Animation
_5njFAnnFRE,황금빛 내 인생 22회 ♥ My Golden Life Ep 22 [Preview],indokdrama,2017-11-11,28555,67,3,8,KR,Film & Animation
UsSXOQtQiUk,중요한 순간에... 끊겨버린 하늘&세진 [네버다이 버터플라이中],오태식,2017-11-14,140662,169,23,37,KR,Film & Animation
2-1nNAZLGuo,최강의 양아치 히어로,B Man 삐맨,2017-11-12,255058,1541,59,275,KR,Film & Animation
cRZP4QEgicU,[리본명장면] 초대 구름의 수호자의 무기 !! 히바리쿄야의 봉고레박스,금발로리트윈테일,2017-11-13,57766,118,5,54,KR,Film & Animation
ZN5xYUaxT5E,[나루토 명장면]겁대가리 상실하고 5카게 회담에 쳐들어았다가 뚜까 맞는 사스케.....,more 애니,2017-11-13,163241,511,29,345,KR,Film & Animation
IJtOFyXxRpU,"베이블레이드 버스트 갓 16화 예고편, 슈를 찾아라! [BEYBLADE BURST GOD TRAILER]",BEYBLADE BURST KOREA,2017-11-13,31055,134,4,102,KR,Film & Animation
y3UenGTOgkI,기생수 고토 얼굴 4단변신,yeoung hun lee,2017-11-14,162013,655,25,130,KR,Film & Animation
uJTDJJ3BgMQ,[원피스 813화 4편] 최초로 밝혀지는 푸딩의 진짜 속마음.. ㅠㅠ,쵸파TV - 종합 채널,2017-11-12,369080,790,50,584,KR,Film & Animation
xPreuX7D4PA,[ASMR] 수학 공식으로 귀 녹여버리는 '로키' 톰 히들스턴 (수험생 필수),욘두의마블,2017-11-12,155521,9829,23,363,KR,Film & Animation
R5phEt-KJuE,《범죄도시》 도대체 왜 흥행했나,빨강도깨비,2017-11-11,258397,1786,88,568,KR,Film & Animation
JzYfGVwZ7dQ,드래곤볼 슈퍼 116화 30초 무삭제 예고편 : 풀파워 극의 에네르기파 케프라에게 작렬!,뱃츄 유튜브,2017-11-12,81550,293,13,294,KR,Film & Animation
fC7PIC9HskU,토르: 라그나로크  THOR: Ragnarok  묠니르의 명복을 빕니다 (한국어 CC),한반지 영화 예고편 처리장,2017-11-12,30908,405,3,129,KR,Film & Animation
"#NAME?",[영화걸작선] 37회 - 장산범,거의없다,2017-11-11,84466,3226,30,630,KR,Film & Animation
ACHmlijAqds,잘 잤니?,잉크,2017-11-12,37486,325,6,53,KR,Film & Animation
