video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
RxGQe4EeEpA,좋아 by 민서_윤종신_좋니 답가,라푸마코리아,2017-11-13,156130,1422,40,272,KR,People & Blogs
9V8bnWUmE9U,나몰라패밀리 운동화 영상 2탄 (빼빼로데이버젼),나몰라패밀리 핫쇼,2017-11-11,421409,5112,166,459,KR,People & Blogs
4Nxb_nQDYWo,예능신 이광수 하이라이트 모음,채린이의 즐거운 유튜브,2017-11-12,114858,252,40,36,KR,People & Blogs
cplEUy1zk80,[일본반응] 한국이 인도-태평양 안보라인에 참가를 거절 !!! 난리가 난 일본,보고 싶었던 해외반응 이슈,2017-11-12,70166,301,37,352,KR,People & Blogs
iToRdbxuMtg,현재 논란중인 홍대 머리채남,궁금타파,2017-11-12,65547,91,207,154,KR,People & Blogs
poY-l_1poYA,"[핑크상사] 5화 - '막둥이' 김현정, 중고차 트라우마(?) 극복할 수 있을까?",핑크상사,2017-11-13,17868,312,0,4,KR,People & Blogs
"#NAME?",SNL9 급식체특강5 ㅋㅋ중간에 원피스 더빙 개웃ㅋㅋㅋ루피 오졋다리ㅋㅋㅋ,도와주세요 구독자 2천명,2017-11-11,154614,504,134,244,KR,People & Blogs
DKENZsdZ8Ho,국카스텐 (Guckkasten) - 이방인 M/V teaser,인터파크 엔터테인먼트,2017-11-12,18867,1334,2,223,KR,People & Blogs
DQJp8uoRSXk,17년11월13일 APEC에서도 외톨이 문재인(포토타임.환영만찬),나라애 tv,2017-11-13,96820,2997,278,811,KR,People & Blogs
d5bsz2nJvrM,顽强的小生命! 婴儿靠自己力气从妈妈肚子里挣脱出世,龙的传人,2017-11-12,8266,0,0,0,KR,People & Blogs
O5V8CUj-fmg,[1일 2강다니엘] 아름다운 녤 🦋,홀리데이녤 Ju,2017-11-13,13662,610,3,55,KR,People & Blogs
GiuQ33p-jEU,머리에 우주를 품은 혜서니 ..♥ [feat. 기우쌤] ♥혜서니♥,혜서니,2017-11-13,263044,3865,238,940,KR,People & Blogs
YL211gvSyFM,(몰카)  전여친이 내앞에 나타난다면?! ㅋㅋㅋㅋㅋ,더블비,2017-11-12,260596,2871,171,693,KR,People & Blogs
pshpVtJJSqg,[다다블리] 없어서 못 먹는 요즘 핫한 편의점 간식,다다블리 DADA Vely,2017-11-13,31298,390,9,101,KR,People & Blogs
WyvtwqaWCy8,171113 WannaOne (워너원) - Nothing Without You (Intro.) @ Wanna One Comeback Show,Skpb K-Music Live,2017-11-13,44083,1527,9,54,KR,People & Blogs
cwcof34YxVQ,(충격!)이 시점에 이명박이 두바이로 가는 충격적인 이유!  이런 이유였다니..,Sion TV,2017-11-11,146317,472,204,259,KR,People & Blogs
m3NzK_u9FMI,"코미디언 정종철 아내 황규림 자살 유서 사망? 정종철 이혼 재혼 루머,",NHH Daily News Stories,2017-11-11,205677,124,416,93,KR,People & Blogs
gjUSs3Jd4hM,딸기모찌와 짱뚱어탕을 처음 먹어본 모델!! ㅋㅋㅋ (338/365) Model Tries MUDFISH Soup!! lol,에밀튜브 - EmilTUBE,2017-11-13,26785,946,19,195,KR,People & Blogs
nUZZs9dOMJ0,[FULL ALBUM] Wanna One (워너원) - 1-1=0 (NOTHING WITHOUT YOU) [Repackage Album],fastandfurious996,2017-11-13,144091,5287,107,534,KR,People & Blogs
swKs9PC5Krg,피부과 레이저 시술 롤플레이 Dermatologist Laser Treatment RP,Dana ASMR,2017-11-12,130842,3599,31,648,KR,People & Blogs
mVPmIny-gZY,☆섞박지ㅡ보리밥과 건고추로 담그면 설렁탕 집의 그 맛을 더욱 깊이 느낄 수 있습니다!☆★Radish Kimchi★,훌륭한 세상,2017-11-13,9485,76,7,9,KR,People & Blogs
hhzDPJdt42k,안녕하세요 효니월드입니다.,효니월드,2017-11-13,28569,0,0,732,KR,People & Blogs
pL0ryDuCH4k,윤석열 지검장 교체 검토 억울하다! 충격,규봉뉘우스,2017-11-10,289761,1449,508,1267,KR,People & Blogs
oYlG0V4HNlI,너무 예쁜데 패션센스까지?! 여신급 비주얼 쇼핑몰CEO[빼빼로데이 강남야킹]/171111 │ 남순 #2,Namsoon 남순,2017-11-12,39558,161,14,41,KR,People & Blogs
JH9V6cVcN-4,[주식투자]최승욱의 상위1% 진짜주식(2017년 11월 13일  월요일),최승욱의 진짜주식,2017-11-13,8129,200,12,0,KR,People & Blogs
cCOPLqDibfQ,Wanna One (워너원) - 'BEAUTIFUL' Lyrics [Color Coded_Han_Rom_Eng],Hamtaro Gasa,2017-11-13,464322,17205,306,2904,KR,People & Blogs
J90PtTxIpLA,아키네이터야 할매도 찾아줘!!  아키네이터가 할머니도 공대생가족도 찾을수 있을까?[ 공대생네 가족 ],공대생네 가족,2017-11-13,117143,2915,68,916,KR,People & Blogs
ywmwUaPQ9xo,[에렌디라] 저는 애기같은 얼굴이 아니에요,클립 모음,2017-11-11,84987,458,14,147,KR,People & Blogs
Sx-gpxBft4M,171112 세븐틴 목동팬싸인회 클레오파트라게임 wonwoo focus,PROOFER WONWOO,2017-11-13,12522,710,0,23,KR,People & Blogs
GdZBsz301yk,"[1080p] 강다니엘, 너와 함께한 시간들 6편 (The happy moments with you, Kang Daniel ep.6)",꼬마다니엘,2017-11-12,15375,559,3,54,KR,People & Blogs
4CWYylzQh7g,[嵐/아라시] 옷 고르다가 빡친 오노 ㅋㅋㅋㅋ,17 6,2017-11-12,9763,0,0,9,KR,People & Blogs
oGj5-or4DtA,카르도나 인종차별이후 더 빡치게 만드는 콜롬비아 방송,노가리,2017-11-11,41637,203,21,421,KR,People & Blogs
6GEawVjs1hs,뉴이스트 ㅣ 조상러브들 익룡설,애플민트,2017-11-12,13201,1055,2,130,KR,People & Blogs
F03qkeDeCOo,💗품바여왕 버드리💗관객박수호응 100점 최고 멋진 공연 2017년11월11일  사천 이벤트 국제 로타리 클럽 연수회,금강산,2017-11-11,62823,261,50,80,KR,People & Blogs
vxfDYCYvdMw,드디어 잘하는게 생긴 김종현 (귀여움주의♡),Da moon,2017-11-12,30848,0,0,65,KR,People & Blogs
Nay8oG9X2sA,런닝맨 [소민 귀엽다고하는 동해],큐이스,2017-11-12,25655,141,6,3,KR,People & Blogs
hA_YOlVZoxc,매일 쓰는 물건들의 숨겨진 비밀 18가지,핵잼 TV,2017-11-11,46765,143,35,24,KR,People & Blogs
ajpmlblM4KI,💖품바의여신 버드리💖 사천 삼천포와룡 로타리클럽 연수회 초청공연,야무지게,2017-11-11,23537,122,17,47,KR,People & Blogs
sfZ5YaoJ1Eo,반짝이 보석과자 코하쿠토 만들기♥ - Ari Kitchen(아리키친),ARIKITCHEN (아리키친),2017-11-11,616608,11872,287,2264,KR,People & Blogs
hIgu7sUpdDU,[황민현] 워너원고2 2화 (나름 혼자 많이) 바쁜 민현이,뮤즈,2017-11-12,106696,1830,12,68,KR,People & Blogs
qAcW06XhYDQ,요즘 엔진 진동,Minook Kim,2014-09-21,16273,0,1,1,KR,People & Blogs
98tQa2oR4Ps,กระแต อาร์สยาม เต้นปานามา ( PANAMA DANCE ),KT Family Official,2017-11-12,389383,1385,34,109,KR,People & Blogs
ZcIWaCMJDKc,[더유닛] 어벤져스 팀 꾸린 핫샷 티모테오,전쟁한번겪은사람,2017-11-12,13763,265,2,64,KR,People & Blogs
SOH10kDZtqU,25년 만의 국빈 방문을 준비하는 사람들,대한민국청와대,2017-11-09,105477,3150,26,309,KR,People & Blogs
iToRdbxuMtg,현재 논란중인 홍대 머리채남,궁금타파,2017-11-12,1232807,872,2517,2185,KR,People & Blogs
RxGQe4EeEpA,좋아 by 민서_윤종신_좋니 답가,라푸마코리아,2017-11-13,519266,5448,167,925,KR,People & Blogs
f7wCdRsKaqE,[워너원] 컴백쇼 폭로전이라 쓰고 앞담화라 읽는다ㅋㅋㅋ,밥알8호,2017-11-14,119391,3205,27,239,KR,People & Blogs
ak3ja-tSKFQ,우원재가 AOMG에서 밝아질 수 밖에 없는 이유,힙합버스,2017-11-14,152824,975,27,111,KR,People & Blogs
9V8bnWUmE9U,나몰라패밀리 운동화 영상 2탄 (빼빼로데이버젼),나몰라패밀리 핫쇼,2017-11-11,555917,6044,207,486,KR,People & Blogs
a-QCuwf1ACA,방문진 이사 최강욱의 무자비 팩폭...김장겸쪽 김광동 이사 뒷목 잡다,김용민브리핑,2017-11-14,53553,1003,20,254,KR,People & Blogs
"#NAME?",SNL9 급식체특강5 ㅋㅋ중간에 원피스 더빙 개웃ㅋㅋㅋ루피 오졋다리ㅋㅋㅋ,도와주세요 구독자 2천명,2017-11-11,296326,970,312,415,KR,People & Blogs
cMr-8UdrJEk,171115 BTS at Late Late Show Taping/Recording Preview #BTSxJamesCorden,BTS & ARMY News,2017-11-15,49804,2336,7,226,KR,People & Blogs
oLcuL6A-Yyo,[BT21] Making of BT21 - EP.09,BT21,2017-11-14,287854,32959,31,961,KR,People & Blogs
cplEUy1zk80,한국이 인도-태평양 안보라인에 참가를 거절 !!! 난리가 난 일본,보고 싶었던 해외반응 이슈,2017-11-12,131353,417,62,510,KR,People & Blogs
lQix_kSIkug,171113 워너원 강다니엘 4K 직캠 (Ft. 데뷔 100일 축하) / WANNAONE KANGDANIEL FOCUS 4K FANCAM,Peach Crush,2017-11-14,19304,1494,5,52,KR,People & Blogs
Ic_nGV-cDrI,베이블레이드 버스트 갓 33화 쉘터 레굴루스vs아크 바하무트,언지t v,2017-11-13,17380,84,5,32,KR,People & Blogs
ioC0-wmjbkI,쟤가 예뻐 내가 예뻐? 남순이 이상형에 폭풍질투하는 서윤?!ㅋㅋ/171113 │ 남순 #7,Namsoon 남순,2017-11-14,99508,317,25,137,KR,People & Blogs
DQJp8uoRSXk,17년11월13일 APEC에서도 외톨이 문재인(포토타임.환영만찬),나라애 tv,2017-11-13,111133,3143,439,933,KR,People & Blogs
cCegqohCFQs,김국진 전 부인 이윤성 이혼 이유(사유),NHH Daily News Stories,2017-11-12,141878,114,82,11,KR,People & Blogs
GiuQ33p-jEU,머리에 우주를 품은 혜서니 ..♥ [feat. 기우쌤] ♥혜서니♥,혜서니,2017-11-13,386461,5135,349,1178,KR,People & Blogs
OKn6Ngy6FHw,동상이몽2 남편 정대세의 힘듬을 알고 울어버리는 명서현씨...,최기준,2017-11-13,72863,158,10,61,KR,People & Blogs
bNKcQfFHAbc,알타크로노스 vs 블래스트지니어스,베뽀,2017-11-14,10140,59,2,8,KR,People & Blogs
6PdFXBqB9Vc,[1일1강다니엘] 아름다운 녤 🦋,홀리데이녤 Ju,2017-11-13,11219,476,5,32,KR,People & Blogs
mVPmIny-gZY,"☆섞박지ㅡ무청, 보리밥, 건고추와 함께 담아서 더욱 깊이있게, 맛깔스럽게 드실 수 있어요. 아주 최고입니다👍😊☆★Radish Kimchi★",훌륭한 세상,2017-11-13,18940,115,14,33,KR,People & Blogs
cCOPLqDibfQ,Wanna One (워너원) - 'BEAUTIFUL' Lyrics [Color Coded_Han_Rom_Eng],Hamtaro Gasa,2017-11-13,982635,24464,501,3943,KR,People & Blogs
YL211gvSyFM,(몰카)  전여친이 내앞에 나타난다면?! ㅋㅋㅋㅋㅋ,더블비,2017-11-12,322858,3370,215,764,KR,People & Blogs
iBFUo2SD5xA,"Nothing Without You - Wanna One Lyrics [Han,Rom,Eng] {Member Coded}",Tamtam Lyrics 1,2017-11-13,49304,1177,9,69,KR,People & Blogs
Ofvv6ygyT-U,런닝맨 [전소민 발지압판 3단뛰기],큐이스,2017-11-12,140553,276,21,144,KR,People & Blogs
swKs9PC5Krg,피부과 레이저 시술 롤플레이 Dermatologist Laser Treatment RP,Dana ASMR,2017-11-12,175483,4272,43,710,KR,People & Blogs
sVjINFwxxLc,[사랑의 온도] 33화 - 34화 예고 (서현진 X 양세종) :: Temperature of Love Ep. 33-34 Preview,유니,2017-11-13,15135,38,6,19,KR,People & Blogs
gjUSs3Jd4hM,딸기모찌와 짱뚱어탕을 처음 먹어본 모델!! ㅋㅋㅋ (338/365) Model Tries MUDFISH Soup!! lol,에밀튜브 - EmilTUBE,2017-11-13,38763,1150,21,252,KR,People & Blogs
2KGpxg5k89M,째니가 스포했던 Beautiful 안무ㅋㅋ,비글 11마리,2017-11-13,55930,648,20,63,KR,People & Blogs
poY-l_1poYA,"[핑크상사] 5화 - '막둥이' 김현정, 중고차 트라우마(?) 극복할 수 있을까?",핑크상사,2017-11-13,75362,549,12,24,KR,People & Blogs
02bW7_ZfBpw,'그 코이치군이 화를 냈다?' 주니어들 사이에 전설이라는 이야기,52 KinKiKids,2017-11-13,10144,191,2,8,KR,People & Blogs
Bk1pL6AfAN0,"[嵐 아라시예능] 맨날해줘, 너희들의 사랑싸움.... (feat.나이 많다고 놀리는 아라시 형아들)",아라시의 사랑스러운 가게,2017-11-13,7357,138,2,8,KR,People & Blogs
WyvtwqaWCy8,171113 WannaOne (워너원) - Nothing Without You (Intro.) @ Wanna One Comeback Show,Skpb K-Music Live,2017-11-13,47453,1563,9,55,KR,People & Blogs
