video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
OIBG99riACs,TEXTO DIARIO ANIMADO 13 de noviembre 2017,TextoDiarioAnimado,2017-11-13,8090,262,3,4,MX,Education
qxyJYWGf57k,Santa Misa del lunes 13 de noviembre de 2017 (de nazaret.tv),Maria de Nazaret,2017-11-13,8010,0,0,0,MX,Education
qh3Vr7x_5bQ,Laudes -  Lunes 13 de noviembre de 2017 - Oración de la mañana,Homilías y Catequesis Católicas,2017-11-12,6665,223,2,3,MX,Education
ExbVoHLXPzg,¿Por qué se cree en supersticiones? - CuriosaMente 98,CuriosaMente,2017-11-12,129904,10161,124,543,MX,Education
ch2bHvup3p0,"LAUDES -  LUNES 13 DE NOVIEMBRE, 2017",Ora Con El Corazon RADIO,2017-11-13,4558,125,5,7,MX,Education
Ttqo0pFoAAM,"Rezo de Laudes y Misa Coral del Cabildo, 13 de Noviembre de 2017, 8:30 hrs.",Basílica de Guadalupe A.R,2017-11-13,2032,69,3,0,MX,Education
5dCjl2efnyQ,Episodio #1257 ¿Como el hongo candida ataca el cuerpo?,MetabolismoTV,2017-11-13,6742,581,4,54,MX,Education
fPYffm4nIYA,MITOS ZOOLÓGICOS,El Robot de Platón,2017-11-14,129018,12961,74,737,MX,Education
18POj5UkGRo,REUNIÓN VIDA Y MINISTERIOS CRISTIANOS LATINO MÉXICO DEL 13 AL 19 DE NOVIEMBRE - EN VIVO,PUBLICACIONES JW,2017-11-14,18150,175,32,4,MX,Education
eBft4vEcuoQ,YOKOI KENJI | La Enfermedad más Peligrosa: Delirios Estrellatus,TURBO COACHING,2017-11-14,23457,706,21,18,MX,Education
KUdJjEkVHk8,SANTA MISA DE HOY MARTES 14 DE NOVIEMBRE DE 2017,Homilías y Catequesis Católicas,2017-11-14,10122,263,17,1,MX,Education
GegDJ0zYeWg,Lamborghini dona un auto deportivo al Papa Francisco,aciprensa,2017-11-15,13880,78,3,15,MX,Education
3RhwURUXFq8,QUÉ PASA CON LAS ABEJAS l Mini documental,El Robot de Colón,2017-11-15,50247,7054,23,604,MX,Education
4ElbjzSg4KY,Amor Verdadero Y Cómo Encontrarlo | 3 Pasos SECRETOS Para Conocer y Atraer a un Buen Hombre,Mario Luna - NetKaizen,2017-11-15,30831,2037,44,296,MX,Education
xPbC25UNi68,Cómo hacer PURE DE PAPA Estilo KFC Vicky Receta Facil,VICKY RECETA FACIL,2017-11-16,33042,2871,58,336,MX,Education
cVTIB-qedDA,¡Gira de Frank en México en Noviembre!,MetabolismoTV,2017-11-16,4519,361,3,80,MX,Education
0cGvs-QKHDA,MÚSICA QUE SANA Y ARMONIZA - EL PODER DE LA MÚSICA Y EL CEREBRO,Ivan Donalson,2017-11-18,8246,744,15,91,MX,Education
4LpJBN9JJ3U,DIY ÁRBOL DE NAVIDAD CON LUCES FÁCIL Y ORIGINAL,DIY Gustamontón,2017-11-18,13619,1388,23,113,MX,Education
JRj43Tjq2ZY,7 enigmas de la ciencia - CuriosaMente 99,CuriosaMente,2017-11-19,149276,12704,87,793,MX,Education
dLhKS_ttKqc,SANTA MISA DE HOY DOMINGO 19 DE NOVIEMBRE DE 2017.,Homilías y Catequesis Católicas,2017-11-19,9026,189,11,25,MX,Education
6JQRryECYfA,HORÓSCOPO Y PREDICCIONES DEL 17 AL 24 DE NOVIEMBRE DE 2017,Wicca Escuela De La MAGIA,2017-11-19,38469,1554,128,128,MX,Education
4xWuSQF_cz0,Episodio #1263 ¿Porqué la ley prohibe los medicamentos naturales?,MetabolismoTV,2017-11-19,12191,874,12,129,MX,Education
36sO84Hq6kw,Imperial Anthem of the Ottoman Empire - Mecidiye Marşı,DeroVolk,2014-09-14,705557,19790,555,5908,MX,Education
BXLo2Bifx9A,¿Cómo sabes si eres civilizado?,El Robot de Platón,2017-11-20,131777,11952,131,922,MX,Education
x1UCBCp3auo,Poncho corto o capa con cuello tortuga en punto turco tejido a crochet / Tejiendo Perú,Esperanza y Ana Celia Rosas,2017-11-20,35370,2529,44,121,MX,Education
eSpUfqzNlh0,SANTA MISA DE HOY LUNES 20 DE NOVIEMBRE DE 2017,Homilías y Catequesis Católicas,2017-11-20,11197,287,14,12,MX,Education
JRj43Tjq2ZY,7 enigmas de la ciencia - CuriosaMente 99,CuriosaMente,2017-11-19,194676,15270,122,946,MX,Education
tuOs9qkr-3k,Reunión vida y ministerio cristiano 20 - 26 Noviembre del 2017,Jw Testigos de Jehová,2017-11-21,5659,101,11,2,MX,Education
mDWtkgi6qyI,Cómo hacer PAVO NAVIDEÑO Vicky Receta Facil,VICKY RECETA FACIL,2017-11-21,32037,2362,65,324,MX,Education
GiE7aa0Dewo,REUNIÓN VIDA Y MINISTERIO CRISTIANO ESPAÑOL LATINO MÉXICO DEL 20 AL 26 DE NOVIEMBRE,PUBLICACIONES JW,2017-11-21,14259,148,26,7,MX,Education
CEzMg7FJwbk,Sin Tu Mirada | Avance del capitulo 9 (23 De Noviembre),Gomez PR,2017-11-22,15202,72,3,1,MX,Education
ovWjjsSUXtc,La Ultima Palabra 22 Noviembre 2017 - ¿Es Mauro Boselli Más Que André Pierre Gignac?,AgLeaf,2017-11-23,9729,30,6,2,MX,Education
3iDTNQKKay4,Cómo hacer SPAGHETTI A LOS 4 QUESOS Vicky Receta Facil,VICKY RECETA FACIL,2017-11-23,33769,3090,53,305,MX,Education
kkYn6V6o_Js,Sin Tu Mirada | Avance del capitulo 10 (24 De Noviembre),Gomez PR,2017-11-23,22696,137,3,10,MX,Education
A5u22MvEbqo,LETRAS CORTADAS EN LA PIEL - Makeup FX,SEXXXYBLOOD,2017-11-23,16499,2201,17,201,MX,Education
T0pa_o4BKN8,Martin Cortes Malintzin – Heredero de dos mundos,Yolo Camotes,2017-11-23,3479,492,3,67,MX,Education
vXkw9zpb3pY,¿COMO SERA EL AÑO 2018 SEGÚN LA NUMEROLOGÍA? CABALA,Wicca Escuela De La MAGIA,2017-11-23,9279,600,26,27,MX,Education
q3JKkzkV8iI,SANTA MISA DE HOY VIERNES 24 DE NOVIEMBRE DE 2017,Homilías y Catequesis Católicas,2017-11-24,8086,193,11,12,MX,Education
mkGDV-88TpQ,Avance Lunes 27 Capitulo 86 Sin Senos Si Hay Paraiso 2,Avances de Narcoseries 2,2017-11-25,8330,80,6,2,MX,Education
qpBK-4dRTE0,Papá a toda madre avance capitulo 27 (lunes 27 de noviembre),Gomez PR,2017-11-25,5774,39,0,2,MX,Education
8aDeG9OecUI,Por primera y última vez,Jürgen Klaric,2017-11-24,13345,701,18,64,MX,Education
_H6eQXqimR4,Soy Docente: PREGUNTAS DE LA EVALUACIÓN DE PERMANENCIA 2017,Jaime Uchiha,2017-11-24,5739,404,6,30,MX,Education
oC923ifKZwY,Episodio #1268 Lo que puede pasar,MetabolismoTV,2017-11-24,10367,736,15,90,MX,Education
56lV7A7QGuY,Episodio #1269 Controla tu hambre,MetabolismoTV,2017-11-25,11826,932,8,96,MX,Education
ETo-JOq3bsY,Los Peores Vídeos de Youtube [Barbaridades nivel Épico edition],EnigmaCinco,2017-11-25,47347,5671,129,1125,MX,Education
IMDGobteN_w,Adornos Navideños con tubos de cartón 3 Ideas Rosegal Black Friday&Cyber Monday (Reciclaje) Ecobrisa,▶Ecobrisa Manualidades con Reciclaje,2017-11-25,13105,1081,13,37,MX,Education
FVan0vu_Uso,Cómo Tejer SUÉTERES y BUFANDAS - Punto REVERSIBLE  UNISEX - 2 agujas (463),ComoTejer.com,2017-11-25,9559,815,18,15,MX,Education
qbxxgqll2N4,Albert Gozlan rezará y meditará por sus alumnos en los lugares sagrados de Israel,Kabbalah Mashiah,2017-11-26,3519,473,8,77,MX,Education
MewTO_xtOww,¿Para qué nos deprimimos?- CuriosaMente 100,CuriosaMente,2017-11-26,123002,14845,114,896,MX,Education
A0CKZMTYzKg,POSTRE NAVIDEÑO FÁCIL Y RÁPIDO,Sabor Pati,2017-11-26,7996,803,16,49,MX,Education
