video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
ee6OFs8TdEg,QUI SAUTERA LE PLUS HAUT ? (VÉLO SKATE ROLLER TROTTINETTE),Aurelien Fontenoy,2017-11-13,141695,8091,72,481,FR,Sports
FGA3qaOl5SM,"NEYMAR craque, BENZEMA et les Bleus, RONALDO encore papa, EVRA...",Top Mercato,2017-11-13,160173,6226,82,424,FR,Sports
o-y6Q0bANm4,Côte d'Ivoire vs Maroc 0 - 2,Ayoub Hamraoui,2017-11-11,265303,1475,110,273,FR,Sports
EM0p9NFhDdo,8 MOIS SANS ABDOS... LE RÉSULTAT !,Karoline.Ro,2017-11-13,15624,1961,14,368,FR,Sports
redJOfQQlhg,LA MUSCULE : LE PATRON (EP9) - Bodytime,Bodytime,2017-11-12,161866,8459,292,193,FR,Sports
a0TDcLkTdiM,FOOTBALL VS VTT TRIAL (feat AURELIEN FONTENOY),Footstyle TV,2017-11-12,173226,7044,134,355,FR,Sports
68F0uL6Z8-Y,مع نوفل العواملة من الملعب بكاء هيرفي رونارد و تصريح اللاعبين,كووورة مغربية وعالمية,2017-11-11,404120,2179,370,442,FR,Sports
9x8maydHc38,Amazing U19 Qatar penalty shoot-out,SporTV,2017-11-12,9637,6,0,1,FR,Sports
fow3fbsZ00k,"Equipe de France : Les Bleus à Cologne pour Allemagne - France, reportage I FFF 2017",Fédération Française de Football,2017-11-13,50535,1930,21,178,FR,Sports
nNWmcauF-9I,Patrice Evra évoque son avenir en tractant un 4x4,Foot Mercato,2017-11-13,48029,1897,173,277,FR,Sports
LxlOw30Xo-U,شاهد انبهار اعلامية لبنانية بمستوى المنتخب المغربي عقب التأهل التاريخي لروسيا 2018,Info Press,2017-11-12,236911,1911,128,0,FR,Sports
7urLUZ0Btt8,LE BARCA VEUT ABSOLUMENT ANTOINE GRIEZMANN !! / LE REAL MADRID A DEJA FIXÉ LE PRIX DE BALE ! ZI#315,BIZBIZ,2017-11-13,50204,3686,66,708,FR,Sports
64Zp9KvOY-Y,"POGBANCE les frères POGBA, MBAPPE humilie JALLET , GRIEZMANN chanteur .....Zapping Foot #52",Zapping Foot,2017-11-13,61769,922,22,104,FR,Sports
8L3bSNzTVhQ,"Mbappé humilie un partenaire, Evra revient - La Quotidienne #140",Téléfoot,2017-11-13,41035,3070,38,3648,FR,Sports
1XK6vl9Oa0E,He did it again! Ngapeth closes an incredible point with a fantastic Ngaback!,MODENA VOLLEY,2017-11-13,10569,35,0,0,FR,Sports
K2bupEhzJm0,رد فعل مصري على فوز منتخب المغرب على ساحل العاج والتاهل الى كاس العالم,korawbs1,2017-11-12,371258,6654,282,797,FR,Sports
Kg7-PAMLups,France - Nouvelle Zélande : Le résumé,FF Rugby,2017-11-12,23795,140,3,14,FR,Sports
x1xbq4XnOp4,Top 10 Meilleurs 2nds tours de Draft All-Time,TrashTalkProduction,2017-11-13,23082,1432,17,322,FR,Sports
Yjtqf0NPNSA,"Top 5 Plays of the Night: November 12, 2017",NBA,2017-11-13,226660,2501,145,224,FR,Sports
l_7HXA7LmUU,إنبهار الإعلام التونسي بتأهل المغرب لمونديال روسيا,WYDAD Forever,2017-11-12,319264,1501,233,554,FR,Sports
ARceRTLzDzA,OKC THUNDER : QUELLE IDENTITÉ  ? First Talk NBA #32,FIRST TEAM,2017-11-13,15580,1231,21,454,FR,Sports
k_KXgkEZGtI,بالفيديو: تسريب لقطات حذفتها بينسبورت في مباراة المنتخب المغربي ضد الكوت ديفوار,REPLAY,2017-11-12,303817,2299,804,0,FR,Sports
YdCowQVqdfo,J'AI PERDU LA MOTIVATION,Road to Saiyan,2017-11-12,114014,8666,360,471,FR,Sports
