video_id,title,channel_title,publish_time,views,likes,dislikes,comment_count,Region,category_title
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,Tokyo ZooNet,2018-02-06,76621,545,16,0,JP,Pets & Animals
6sexVZpv5RI,【アクアリウム】サテライト全部買ってみた,こうちゃがーでん,2018-02-06,9854,227,22,94,JP,Pets & Animals
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,Tokyo ZooNet,2018-02-06,76621,545,16,0,JP,Pets & Animals
6sexVZpv5RI,【アクアリウム】サテライト全部買ってみた,こうちゃがーでん,2018-02-06,9854,227,22,94,JP,Pets & Animals
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,Tokyo ZooNet,2018-02-06,76621,545,16,0,JP,Pets & Animals
6sexVZpv5RI,【アクアリウム】サテライト全部買ってみた,こうちゃがーでん,2018-02-06,9854,227,22,94,JP,Pets & Animals
CcWHJuzPUKY,シャンシャン238日齢（2）2018年2月5日撮影,Tokyo ZooNet,2018-02-06,76621,545,16,0,JP,Pets & Animals
6sexVZpv5RI,【アクアリウム】サテライト全部買ってみた,こうちゃがーでん,2018-02-06,9854,227,22,94,JP,Pets & Animals
H9KIeijkNTc,すぐキレるポメラニアン55 ふて寝するポメラニアン,通山まさこ,2018-02-07,79505,0,0,0,JP,Pets & Animals
palw25wDVnA,まさかの展開！集まって来る猫たちは何をしてた？皆さんもお考え下さい,Afro Blue,2018-02-07,13608,544,29,39,JP,Pets & Animals
D3UgKhoZbSI,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,プピプピ文太,2018-02-07,61152,1378,36,191,JP,Pets & Animals
HaZzVUBlEGE,雪とまるとはな。-Snow and Maru&Hana.-,mugumogu,2018-02-07,57668,2954,24,223,JP,Pets & Animals
MnQYdnYWCPQ,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,秋田犬げんき,2018-02-06,122972,3505,49,209,JP,Pets & Animals
NwkoKEOUYaA,猫の噛み癖が治ったと錯覚したあの夜,コロン BB,2018-02-07,12442,570,6,103,JP,Pets & Animals
H9KIeijkNTc,すぐキレるポメラニアン55 ふて寝するポメラニアン,通山まさこ,2018-02-07,79505,0,0,0,JP,Pets & Animals
palw25wDVnA,まさかの展開！集まって来る猫たちは何をしてた？皆さんもお考え下さい,Afro Blue,2018-02-07,13608,544,29,39,JP,Pets & Animals
D3UgKhoZbSI,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,プピプピ文太,2018-02-07,61152,1378,36,191,JP,Pets & Animals
HaZzVUBlEGE,雪とまるとはな。-Snow and Maru&Hana.-,mugumogu,2018-02-07,57668,2954,24,223,JP,Pets & Animals
MnQYdnYWCPQ,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,秋田犬げんき,2018-02-06,122972,3505,49,209,JP,Pets & Animals
NwkoKEOUYaA,猫の噛み癖が治ったと錯覚したあの夜,コロン BB,2018-02-07,12442,570,6,103,JP,Pets & Animals
H9KIeijkNTc,すぐキレるポメラニアン55 ふて寝するポメラニアン,通山まさこ,2018-02-07,79505,0,0,0,JP,Pets & Animals
palw25wDVnA,まさかの展開！集まって来る猫たちは何をしてた？皆さんもお考え下さい,Afro Blue,2018-02-07,13608,544,29,39,JP,Pets & Animals
D3UgKhoZbSI,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,プピプピ文太,2018-02-07,61152,1378,36,191,JP,Pets & Animals
HaZzVUBlEGE,雪とまるとはな。-Snow and Maru&Hana.-,mugumogu,2018-02-07,57668,2954,24,223,JP,Pets & Animals
MnQYdnYWCPQ,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,秋田犬げんき,2018-02-06,122972,3505,49,209,JP,Pets & Animals
NwkoKEOUYaA,猫の噛み癖が治ったと錯覚したあの夜,コロン BB,2018-02-07,12442,570,6,103,JP,Pets & Animals
H9KIeijkNTc,すぐキレるポメラニアン55 ふて寝するポメラニアン,通山まさこ,2018-02-07,79505,0,0,0,JP,Pets & Animals
palw25wDVnA,まさかの展開！集まって来る猫たちは何をしてた？皆さんもお考え下さい,Afro Blue,2018-02-07,13608,544,29,39,JP,Pets & Animals
D3UgKhoZbSI,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,プピプピ文太,2018-02-07,61152,1378,36,191,JP,Pets & Animals
HaZzVUBlEGE,雪とまるとはな。-Snow and Maru&Hana.-,mugumogu,2018-02-07,57668,2954,24,223,JP,Pets & Animals
MnQYdnYWCPQ,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,秋田犬げんき,2018-02-06,122972,3505,49,209,JP,Pets & Animals
NwkoKEOUYaA,猫の噛み癖が治ったと錯覚したあの夜,コロン BB,2018-02-07,12442,570,6,103,JP,Pets & Animals
6qT5wAc3fEY,あ！落ちる！仔猫を助けたアビシニアン【瀬戸のるか日記】Luca kitten rescued,Miaou,2018-02-09,3136,385,7,41,JP,Pets & Animals
04YcnWKdOb0,秋田犬氷食べの邪魔をする雨垂れに歯向かう【akita dog puppy】,秋田犬げんき,2018-02-08,112678,2901,30,216,JP,Pets & Animals
_MfVpGaUhYQ,のせ猫 x みかんの皮帽子　180209,かご猫 Ｂｌｏｇ,2018-02-09,2524,248,5,27,JP,Pets & Animals
OsrlAVbaVCk,爪とぎ用のカバンを与えたのに「いらない」というねこ、しおちゃん Theo lost his interest in scratching dad's bag,shinkoruri,2018-02-08,34655,868,24,53,JP,Pets & Animals
ZfOjvOcVKhc,ラン展に行ったよ🐾トイプードルのロージー・シェリ・ジェム,akiko Kotachi,2018-02-08,8287,245,8,40,JP,Pets & Animals
390U2WHZR_Q,猫とクマさん　楽しそうにプロレス？破壊？♥♥猫との会話を楽しむ動画 Conversation with a talking cat,Afro Blue,2018-02-08,9316,539,8,51,JP,Pets & Animals
lD3iSD9kg94,お風呂で揃って首を振る子猫たちに癒される,ひのき猫,2018-02-07,36586,805,18,69,JP,Pets & Animals
6qT5wAc3fEY,あ！落ちる！仔猫を助けたアビシニアン【瀬戸のるか日記】Luca kitten rescued,Miaou,2018-02-09,3136,385,7,41,JP,Pets & Animals
04YcnWKdOb0,秋田犬氷食べの邪魔をする雨垂れに歯向かう【akita dog puppy】,秋田犬げんき,2018-02-08,112678,2901,30,216,JP,Pets & Animals
_MfVpGaUhYQ,のせ猫 x みかんの皮帽子　180209,かご猫 Ｂｌｏｇ,2018-02-09,2524,248,5,27,JP,Pets & Animals
F1dFrQZV47M,なぜそこで止まる⁈猫の謎行動に困惑する柴犬 Why does cat stop in front of me?,ももと天 Momo and Ten,2018-02-10,18581,964,8,129,JP,Pets & Animals
vO1jrCodB7Y,跳び箱とねこ 。-Vaulting box and Maru.-,mugumogu,2018-02-09,15810,1809,8,299,JP,Pets & Animals
Dgw4I9xNWys,寝起きのひと撫では欠かせないシベリアンハスキー,プピプピ文太,2018-02-09,25497,784,8,91,JP,Pets & Animals
ICaWQtg9i24,雪の日の猫　2018 Snow and cat 2018,かご猫 Ｂｌｏｇ,2018-02-10,5700,376,1,31,JP,Pets & Animals
J-aR8HdTpS4,だんだん仲良くなっていく子猫,ひのき猫,2018-02-09,12592,564,8,58,JP,Pets & Animals
ZNboStBis8M,【神回】お湯を張ったお風呂に猫が入っちゃったｗｗｗ,《あつし》 Channel,2018-02-09,77579,2551,48,261,JP,Pets & Animals
fxR481atdX0,モシャモシャ,らびっとマーケット,2018-02-09,5690,126,4,0,JP,Pets & Animals
J9r7Agjotj0,シバチャ「……ふごっ！？ふごごごっ！？！？！？！」,シバチャンネル,2018-02-09,95422,4061,26,507,JP,Pets & Animals
F1dFrQZV47M,なぜそこで止まる⁈猫の謎行動に困惑する柴犬 Why does cat stop in front of me?,ももと天 Momo and Ten,2018-02-10,18581,964,8,129,JP,Pets & Animals
vO1jrCodB7Y,跳び箱とねこ 。-Vaulting box and Maru.-,mugumogu,2018-02-09,15810,1809,8,299,JP,Pets & Animals
Dgw4I9xNWys,寝起きのひと撫では欠かせないシベリアンハスキー,プピプピ文太,2018-02-09,25497,784,8,91,JP,Pets & Animals
ICaWQtg9i24,雪の日の猫　2018 Snow and cat 2018,かご猫 Ｂｌｏｇ,2018-02-10,5700,376,1,31,JP,Pets & Animals
J-aR8HdTpS4,だんだん仲良くなっていく子猫,ひのき猫,2018-02-09,12592,564,8,58,JP,Pets & Animals
saupsetWnRA,診察台に乗せられて人生終わった表情でお手する柴犬　Shibe got on the examination table and became a give up facial expressions.,panda chan,2018-02-10,277005,0,0,0,JP,Pets & Animals
IZtqT1F41jE,大雪の日のインコたち,ぴんふ,2018-02-10,25544,1046,11,131,JP,Pets & Animals
F1dFrQZV47M,なぜそこで止まる⁈猫の謎行動に困惑する柴犬 Why does cat stop in front of me?,ももと天 Momo and Ten,2018-02-10,88661,1734,33,199,JP,Pets & Animals
FvqQlPB9TLQ,柴犬小春　【検証】食事の横にラップをしたドッグフードが置かれていたらどうなる！？,Kohachannel,2018-02-10,37961,546,72,173,JP,Pets & Animals
CJXLbwqQeBw,【２月１０日今日の シャンシャン 一家】～ギャラリーの多さにリーリーはびっくり！～【パンダ生活チャンネル】,癒し channel,2018-02-10,12694,60,6,1,JP,Pets & Animals
Dgw4I9xNWys,寝起きのひと撫では欠かせないシベリアンハスキー,プピプピ文太,2018-02-09,94545,1379,28,130,JP,Pets & Animals
bAZpsVITwYE,カワウソさくら 欲張りセット 1人オリンピック編 Various otter,ma ko,2018-02-10,52312,1222,33,135,JP,Pets & Animals
EzZZwt5GYdg,飼い主に何されても怒らない猫が可愛すぎるｗｗｗ,《あつし》 Channel,2018-02-10,51958,1882,16,186,JP,Pets & Animals
saupsetWnRA,診察台に乗せられて人生終わった表情でお手する柴犬　Shibe got on the examination table and became a give up facial expressions.,panda chan,2018-02-10,277005,0,0,0,JP,Pets & Animals
IZtqT1F41jE,大雪の日のインコたち,ぴんふ,2018-02-10,25544,1046,11,131,JP,Pets & Animals
9pii9ZwxxyY,秋田犬部屋から脱走して仏間に入るをマスターする【akita dog puppy】,秋田犬げんき,2018-02-12,23712,1605,8,128,JP,Pets & Animals
1E7UaOrytko,動物病院で激おこ！今月もゴジラ猫リキちゃんは健在☆公園でまったり・おうちでカリカリやけ食いする猫【リキちゃんねる　猫動画】Cat video　キジトラ猫との暮らし,ネコのリキ,2018-02-12,15061,684,18,118,JP,Pets & Animals
saupsetWnRA,診察台に乗せられて人生終わった表情でお手する柴犬　Shibe got on the examination table and became a give up facial expressions.,panda chan,2018-02-10,760267,0,0,0,JP,Pets & Animals
PtbaWeSgSZk,掃除機への当たりが強すぎる犬と、無関心すぎる猫  Dog and cat reaction to the vacuum cleaner,ももと天 Momo and Ten,2018-02-11,60568,1791,20,275,JP,Pets & Animals
JcsOlUFFSo4,甘えた鳴き声で飼い主を呼ぶ子猫がかわいい,ひのき猫,2018-02-11,12188,552,5,55,JP,Pets & Animals
Ezto087Fuq0,巨大なダンボールに猫たち大興奮！その中身とは…！？,《あつし》 Channel,2018-02-11,50066,1287,42,157,JP,Pets & Animals
ngambqAukEI,今日の シャンシャン　２月１１日　上野動物園　パンダ  香香,mrpenta,2018-02-11,8944,0,0,0,JP,Pets & Animals
mNqSetEhB2o,猫ハウス ～ある夜の出来事～ボスが来た！It happened at night,cinnamon mon,2018-02-11,16333,0,0,0,JP,Pets & Animals
ihfTW6DxezI,猫をあのバッグに入れて運搬して放置した結果,コロン BB,2018-02-11,19460,525,12,70,JP,Pets & Animals
PcNbF0FFZ6o,はじける笑顔で雪を楽しむ柴犬 Dog in snow,ももと天 Momo and Ten,2018-02-12,45270,2265,14,309,JP,Pets & Animals
9pii9ZwxxyY,秋田犬部屋から脱走して仏間に入るをマスターする【akita dog puppy】,秋田犬げんき,2018-02-12,125345,3022,38,238,JP,Pets & Animals
ve0HZmQDKbc,柴犬小春　ASMR【実験】苦手なトマトが、大好きな鹿肉に混じっていたらどうなる！？のはずが。Does Koharu like Tomatoes now?!,Kohachannel,2018-02-12,28134,758,61,225,JP,Pets & Animals
B6GxvgcuYyo,今日の シャンシャン　２月１２日　上野動物園　パンダ  香香,mrpenta,2018-02-12,5443,0,0,0,JP,Pets & Animals
xxU5dtXqVbo,【超便利】ドアにくっつく猫じゃらしに猫たちが飛び跳ねるｗｗｗ,《あつし》 Channel,2018-02-12,41906,1355,23,173,JP,Pets & Animals
l-ILd_3x0JY,シャンシャン245日齢( 2) 2018年2月11日撮影,The Moment,2018-02-12,18054,97,14,2,JP,Pets & Animals
1E7UaOrytko,動物病院で激おこ！今月もゴジラ猫リキちゃんは健在☆公園でまったり・おうちでカリカリやけ食いする猫【リキちゃんねる　猫動画】Cat video　キジトラ猫との暮らし,ネコのリキ,2018-02-12,38735,1022,36,161,JP,Pets & Animals
saupsetWnRA,診察台に乗せられて人生終わった表情でお手する柴犬　Shibe got on the examination table and became a give up facial expressions.,panda chan,2018-02-10,880515,0,0,0,JP,Pets & Animals
PcNbF0FFZ6o,はじける笑顔で雪を楽しむ柴犬 Dog in snow,ももと天 Momo and Ten,2018-02-12,45270,2265,14,309,JP,Pets & Animals
9pii9ZwxxyY,秋田犬部屋から脱走して仏間に入るをマスターする【akita dog puppy】,秋田犬げんき,2018-02-12,125345,3022,38,238,JP,Pets & Animals
ve0HZmQDKbc,柴犬小春　ASMR【実験】苦手なトマトが、大好きな鹿肉に混じっていたらどうなる！？のはずが。Does Koharu like Tomatoes now?!,Kohachannel,2018-02-12,28134,758,61,225,JP,Pets & Animals
QMoiLyF0jn0,笑わないようにしてください！思わずに笑っちゃうハスキー犬のおもしろハプニング特集,Kawaii Pet TV,2018-02-13,20114,251,41,25,JP,Pets & Animals
UN2200Y5ALI,柴犬小春　きゅうりドッキリ！のはずが、きゅうりにハマっちゃった。ASMR　Koharu VS Cucumber！,Kohachannel,2018-02-13,28737,639,29,245,JP,Pets & Animals
3YeD_8bLy2A,朝から飼い主の腹の上で喧嘩しだす猫たちにたたき起こされました…,《あつし》 Channel,2018-02-13,72520,2073,33,185,JP,Pets & Animals
